batch,glucose conc [g/l],biomass conc [g/l],DO [mg/l],gluconic acid conc [g/l]
1,100,1,10,6.416
2,150,2,10,48.015
3,120,2,15,27.1
4,150,2.5,15,57.946
5,150,3,15,57.389
6,120,2,25,36.262
7,120,2,30,45.02
8,150,2,30,94.424
9,150,3,25,80.486
10,150,2,40,128.907
10,150,2,40,128.907
11,150,,45,146.036
12,150,2,50,154.23
13,180,2,50,175.525
14,150,3,40,129.006
15,150,2.5,50,154.36
16,150,2.5,55,152.44
17,150,2.5,60,148.94
18,160,2.5,60,163.067
19,175,3,55,1760.49
20,160,3,60,162.42
21,180,,60,172.598
22,150,3,,151.28
23,100,3,60,21.803
24,100,2,10,6.67
25,120,2.5,10,22.952
